分類,型番・仕様,部品名,装置1台の必要数,取り付け場所・用途,購入先・製品ページ
電装,WAGO 221-412 / WFR-2BP,2口レバー式中継コネクタ,2,正極用と0 V用に各1個。専用の印刷台は使わない,https://www.amazon.co.jp/dp/B01E577SMQ
電装,エーモン3311・250型,メス端子と絶縁スリーブ,各2,3214の2端子へ接続。電線に合う圧着工具で加工,https://www.amazon.co.jp/dp/B086XFD4B8
電装,エーモン4942・0.50 sq,赤黒ダブルコード,必要長,箱内のDC配線。側板を外す余長を確保して現物で切断,https://www.amazon.co.jp/dp/B07PSL1H4J
電装,エーモン1196・φ4 mm,熱収縮チューブ,必要長,ヒューズホルダーなどのはんだ端子を1本ずつ絶縁,https://www.amazon.co.jp/dp/B001JBYGHC
電装,U2C-AMB10BK,ELECOM USB-A–Micro-Bデータケーブル,1,パソコン→Tic。USB-CのみのPCはデータ対応変換アダプターも用意,https://www.amazon.co.jp/dp/B005C8RVFM
電装,XT60オス–4 mmバナナ・30 cm・14 AWG,DC電源ケーブル,1,赤を電源＋、黒を0 Vへ。2本組から1本使用,https://www.amazon.co.jp/dp/B07RBKSFX4
電装,24 V以下に設定できるDC電源,直流安定化電源,1,装置のXT60へ接続。使用中の21.2 V出力で動作確認済み,
固定具,M3・外径4.6×長さ5.7 mm,熱圧入インサート,26,機構8個、USB側板8個、駆動側板8個、ヒューズ側板2個,https://www.amazon.co.jp/dp/B0G9L9RT4S
固定具,M2×6,六角穴付きねじ（長さは首下）,6,ガイドブロック4本、Tic基板2本,https://www.amazon.co.jp/dp/B0GVD68M67
固定具,M2×8,六角穴付きねじ（長さは首下）,2,XT60フランジ2本,https://www.amazon.co.jp/dp/B0GVD68M67
固定具,M2×12,六角穴付きねじ（長さは首下）,7,レール4本、軸受押さえ3本,https://www.amazon.co.jp/dp/B0GVD68M67
固定具,M2×16,六角穴付きねじ（長さは首下）,4,上下リミット各2本,https://www.amazon.co.jp/dp/B0GVD68M67
固定具,M3×8,六角穴付きねじ（長さは首下）,24,モーター4本、ホルダー前枠4本、電子箱16本,https://www.amazon.co.jp/dp/B0GVD68M67
固定具,M3×12,六角穴付きねじ（長さは首下）,10,ベース接続4本、キャリア接続4本、ホルダー接続2本,https://www.amazon.co.jp/dp/B0GVD68M67
固定具,M4×14,六角穴付きねじ（長さは首下）,4,黄銅フランジナット4本,https://www.amazon.co.jp/dp/B0GVD68M67
固定具,M2・対辺4×厚さ1.6 mm,六角ナット,13,レール4個、軸受押さえ3個、リミット4個、XT60用2個,https://jp.misumi-ec.com/vona2/detail/110500137250/?HissuCode=NATTO-2-4-1.6
固定具,M3,六角ナット,7,ホルダー前枠4個、USLL6用3個,https://www.amazon.co.jp/dp/B0GVD68M67
固定具,M4,六角ナット,4,黄銅フランジナット用4個,https://www.amazon.co.jp/dp/B0GVD68M67
消耗品,PLAまたは採用した樹脂,3Dプリンター用フィラメント,必要量,試験片と本体を同じ材料・造形条件で印刷,
消耗品,小型結束バンド・配線ラベル,配線保持・識別用品,必要数,線束を保持。WAGOのレバーを押さえない,
